account_name,sector,supplier,value_estimate,total_spend,idox_penetration
Utility Warehouse,Fibre,UNKNOWN,,,0
Vald Energy ,Energy,UNKNOWN,,,0
Vattenfall Wind Power Ltd,Renewables,IDOX,,58664.07,14
"Velocity 1 (London, England)",Fibre,UNKNOWN,,,0
Veolia,Infrastructure,UNKNOWN,,,0
Viking Link,Energy,UNKNOWN,,,0
"virair (Preston, Lancashire, England)",Fibre,UNKNOWN,,,0
Virgin Media,Fibre,OTHER,1800000.0,,0
Vital Energi Utilities Ltd,Energy,IDOX,,13107.81,6
Vodafone,Fibre,IDOX,,,0
Voneus,Fibre,OTHER,50000.0,,0
Vorboss,Fibre,IDOX,,42256.59,15
VPI,Energy,UNKNOWN,,,0
"W3Z (Derbyshire, England)",Fibre,UNKNOWN,,,0
Wales & West Utilities Limited,Energy,IDOX,,611903.69,100
Walk Wheel Cycle Trust,Infrastructure,IDOX,,21800.0,10
Welsh Power,Energy,UNKNOWN,,,0
Wessex Water - OS Migration,Water,OTHER,293845.0,,0
West Of Duddon Sands,Renewables,UNKNOWN,,,0
West Sussex County Council,Infrastructure,UNKNOWN,,,0
Wightfibre Limited,Fibre,IDOX,,9822.44,4
Wind 2 Limited,Renewables,IDOX,,13543.1,7
XAIS-PTS LTD,Infrastructure,IDOX,,20000.0,10
Yorkshire Water Services - OS Migration,Water,OTHER,62143.0,,0
"YouFibre (London, England)",Fibre,UNKNOWN,,,0
Your Coop Broadband,Fibre,UNKNOWN,,,0
Yu Energy ,Energy,UNKNOWN,,,0
Zayo,Fibre,UNKNOWN,,,0
Zen,Fibre,UNKNOWN,,,0
"Zone Broadband (Northumberland, England)",Fibre,UNKNOWN,,,0
Zzoomm Plc,Fibre,IDOX,,67383.18,12
