account_name,sector,supplier,value_estimate,total_spend,idox_penetration
ConocoPhillips,Energy,UNKNOWN,,,0
Conrad Energy (Developments) Ltd,Renewables,IDOX,,6867.63,3
Co-Operative Energy ,Energy,UNKNOWN,,,0
Core Highways (Regions) Ltd,Infrastructure,IDOX,,28284.99,14
Coriolis Energy Ltd,Energy,IDOX,,9534.4,5
"Cornwall Broadband (Bude, Cornwall, England)",Fibre,UNKNOWN,,,0
Corona Energy ,Energy,UNKNOWN,,,0
"Country Connect (Newport, Wales)",Fibre,UNKNOWN,,,0
"Countryside Broadband (Woodcote, Reading, England)",Fibre,UNKNOWN,,,0
"County Broadband (Essex, England)",Fibre,UNKNOWN,,,0
"Cromarty Firth Wireless Broadband (Cromarty Firth, Scotland)",Fibre,UNKNOWN,,,0
CSP,Infrastructure,UNKNOWN,,,0
Cuckoo,Fibre,LANDMARK,20000.0,,0
Dalcour Maclaren Ltd,Infrastructure,IDOX,,24594.42,6
"Derbyshire Broadband (Derbyshire, England)",Fibre,UNKNOWN,,,0
Diamond Transmission Corporation,Energy,UNKNOWN,,,0
"Direct Save Telecom (Hertfordshire, England)",Fibre,UNKNOWN,,,0
"Distant Voice (Weybridge, Surrey, England)",Fibre,UNKNOWN,,,0
Downing Renewable Developments LLP,Renewables,IDOX,,13566.45,3
Drax,Energy,UNKNOWN,,,0
"Drimnin Community Broadband (Drimnin, Oban, Scotland)",Fibre,UNKNOWN,,,0
DS Smith,Infrastructure,UNKNOWN,,,0
DTA Transportation Limited,Infrastructure,IDOX,,9488.06,5
Dwr Cymru Welsh Water - OS Migration,Water,OTHER,472621.0,,0
E (gas and Electricity) ,Energy,UNKNOWN,,,0
E Energy,Energy,UNKNOWN,,,0
E. ON Next / Sainsbury's Energy,Energy,UNKNOWN,,,0
E.ON,Energy,UNKNOWN,,,0
"Earth (Ringwood, Hampshire, England)",Fibre,UNKNOWN,,,0
"Eclipse Broadband (Horsham, West Sussex, England)",Fibre,UNKNOWN,,,0
"Ecom (Whitchurch, Buckinghamshire, England)",Fibre,UNKNOWN,,,0
Ecotricity Generation Limited,Energy,IDOX,,9578.84,2
EDF Energy limited,Energy,IDOX,,15082.38,4
EDF Energy Renewables Ltd,Renewables,IDOX,,16706.33,4
EE,Fibre,UNKNOWN,,,0
EirGrid,Energy,UNKNOWN,,,0
Eleclink,Energy,UNKNOWN,,,0
Electricity North West - OS Migration,Energy,OTHER,351317.0,,0
Elements Green Limited,Renewables,IDOX,,7742.87,4
Elgin Energy ES CO Limited,Energy,IDOX,,43007.54,10
Energy Assets Networks,Energy,UNKNOWN,,,0
ENI & HIMOR c/o Penspen Ltd,Energy,UNKNOWN,,,0
EnQuest,Energy,UNKNOWN,,,0
Enray Power Ltd,Energy,IDOX,,11479.89,6
Enso Energy Ltd,Energy,IDOX,,12088.4,6
Enviromena Project Management UK Limited,Renewables,IDOX,,15175.6,7
Eon,Energy,OTHER,11949.0,,0
EP Langage Limited,Infrastructure,UNKNOWN,,,0
Equitix,Energy,UNKNOWN,,,0
ES Pipelines Ltd,Energy,IDOX,,30036.23,7
ESB,Energy,UNKNOWN,,,0
ESP Utilities Group Ltd,Energy,IDOX,,,0
Essar Energy,Energy,UNKNOWN,,,0
"Essex WiFi (Kelvedon, Essex, England)",Fibre,UNKNOWN,,,0
ESSO,Energy,UNKNOWN,,,0
euNetworks,Fibre,UNKNOWN,,,0
Eurowind Energy Limited,Energy,IDOX,,9538.98,5
EXA Infrastructure,Infrastructure,UNKNOWN,,,0
"Exascale (West Midlands, England)",Fibre,UNKNOWN,,,0
"External Reality (Inverness, Scotland)",Fibre,UNKNOWN,,,0
Fastnet,Fibre,UNKNOWN,,,0
"FastNet (Brighton, England)",Fibre,UNKNOWN,,,0
Fibre Assets Limited T/A Connect Fibre,Fibre,IDOX,,181248.52,22
fibre.net,Fibre,UNKNOWN,,,0
"Fibrecast (Dundee, Scotland)",Fibre,UNKNOWN,,,0
"Fibreconnect (Newcastle, Tyne and Wear, England)",Fibre,UNKNOWN,,,0
"FibreHop (Somerset, Clevedon, England)",Fibre,UNKNOWN,,,0
"FibreNest (Fulford, York, England)",Fibre,UNKNOWN,,,0
Fibrus Networks GB Ltd,Fibre,ESRI,25000.0,10310.16,2
"File Sanctuary (Middlesbrough, North Yorkshire, England)",Fibre,UNKNOWN,,,0
"FirstMile (Herefordshire, England)",Fibre,UNKNOWN,,,0
Five Estuaries Offshore Wind Farm Ltd,Energy,IDOX,,7492.97,4
Flotation Energy Limited,Energy,IDOX,,13804.47,7
Force 9 Energy Limited,Energy,IDOX,,8471.2,4
"Fram Broadband (Framlingham, Suffolk, England)",Fibre,UNKNOWN,,,0
"Freedomsat (Hampshire, England)",Fibre,UNKNOWN,,,0
"Freeola (Essex, England)",Fibre,UNKNOWN,,,0
Fulcrum,Energy,IDOX,,16783.0,8
Full Fibre Ltd,Fibre,IDOX,,57822.18,21
"Fusion Fibre Group (Liverpool, England)",Fibre,UNKNOWN,,,0
"G.Network (London, England)",Fibre,ESRI,45000.0,,0
Gamma,Fibre,UNKNOWN,,,0
Gas Networks Ireland,Energy,OTHER,9000.0,,0
Gateshead,Infrastructure,UNKNOWN,,,0
Gazprom,Energy,UNKNOWN,,,0
GEO Environmental Engineering Ltd,Infrastructure,IDOX,,12526.19,6
"Giant (Liverpool, England)",Fibre,UNKNOWN,,,0
"giffgaff (Slough, Berkshire, England)",Fibre,UNKNOWN,,,0
"Gigabeam (Itchen Abbas, Hampshire, England)",Fibre,UNKNOWN,,,0
"Gigabit Networks (Leicester, Leicestershire, England)",Fibre,UNKNOWN,,,0
"Gigaclear (Oxfordshire, England)",Fibre,LANDMARK,,,0
Glide Business Limited,Fibre,IDOX,,21214.45,8
"Go Internet (Isle of Wight, England)",Fibre,UNKNOWN,,,0
GOFIBRE HOLDINGS LIMITED,Fibre,IDOX,,281196.32,34
Good Energy ,Energy,UNKNOWN,,,0
"Gradwell (Bath, England)",Fibre,UNKNOWN,,,0
"Grain (London, England)",Fibre,UNKNOWN,,,0
Granta Backbone Network,Fibre,UNKNOWN,,,0
"Grayshott Gigabit (Hindhead, Surrey, England)",Fibre,UNKNOWN,,,0
Green Cat Renewables Ltd,Renewables,IDOX,,29707.24,7
Green Energy UK,Energy,UNKNOWN,,,0
"Green Grass Broadband (Wiltshire, England)",Fibre,UNKNOWN,,,0
"Green ISP (West Yorkshire, England)",Fibre,UNKNOWN,,,0
GreenPower (International) Ltd,Energy,IDOX,,8142.66,2
GRIDSERVE EMEA DEPC LTD,Fibre,IDOX,,59860.2,11
Hanson Quarry Products Europe Ltd,Infrastructure,IDOX,,9484.48,2
Heathrow Airport Limited,Infrastructure,IDOX,,169001.43,81
Hedgehog Grove Solar Farm Ltd,Renewables,IDOX,,11201.78,5
Hemiko Limited,Energy,IDOX,,13194.49,3
"HERBS Broadband (Grantham, Leicestershire, England)",Fibre,UNKNOWN,,,0
"Herefordshire Community Network (Bath, Somerset, England)",Fibre,UNKNOWN,,,0
"Hey! Broadband (Altrincham, Cheshire, England)",Fibre,UNKNOWN,,,0
"Highland Community Broadband (Scotland, Ullapool)",Fibre,UNKNOWN,,,0
"Highland Wireless (Scotland, Highland, Edderton)",Fibre,UNKNOWN,,,0
Hirwaun Power,Energy,UNKNOWN,,,0
"Home Telecom (West Sussex, England)",Fibre,UNKNOWN,,,0
"Home Unity (London, England)",Fibre,UNKNOWN,,,0
